ADDR,NCID,CID[0]
"100 W MACARTHUR",1,08-054053
"100 W SAN CARLOS ST",1,14-010883
"100 WASHINGTON ST",63,07-033720
"100 WEBER ST ST",1,12-015121
"100 WEBSTER ST",40,12-034505
"100 WESTALL ST",1,13-033337
"1000  FISH RANCH RD",1,09-009708
"1000  PARK",1,09-039919
"1000  WEBSTER ST",1,10-036209
"1000 101ST AV",4,09-082013
"1000 102ND AV",2,14-010741
"1000 104TH AV",6,09-073530
"1000 105TH AV",9,07-068486
"1000 106TH AV",15,11-012456
"1000 10TH",1,09-033614
"1000 10TH ST",19,12-046261
"1000 14TH ST",15,13-066086
"1000 16TH ST",7,07-071305
"1000 16TH ST.",1,14-013535
"1000 18TH ST",20,07-045854
"1000 21ST ST",11,14-006310
"1000 24TH ST",16,11-035546
"1000 25TH AV",6,10-034881
"1000 25TH AVE",1,14-001779
"1000 28TH ST",9,14-015056
"1000 29TH AV",10,09-046060
"1000 2ND AV",7,14-903139
"1000 30TH ST",18,08-025627
"1000 32ND ST",15,07-077786
"1000 34TH ST",5,13-036214
"1000 35TH AV",10,09-063661
"1000 35TH ST",1,14-013467
"1000 37TH AV",4,09-083710
"1000 38TH AV",1,10-047900
"1000 38TH AVE",1,12-062736
"1000 39TH AV",10,13-028120
"1000 39TH ST",6,14-015055
"1000 3RD ST",1,07-092221
"1000 40TH AV",6,08-018900
"1000 40TH AVE",1,14-010957
"1000 42ND ST",16,08-042749
"1000 43RD ST",12,12-906047
"1000 44TH AV",5,08-065228
"1000 46TH AV",11,09-027648
"1000 46TH ST",2,12-005454
"1000 47TH",1,10-025600
"1000 48TH ST",1,10-069286
"1000 50TH AV",18,09-013991
"1000 51ST AV",8,07-084573
"1000 53RD ST",16,13-914264
"1000 54TH AV",7,12-049521
"1000 54TH ST",11,08-073881
"1000 54TH STREET",1,13-064041
"1000 55TH ST",10,11-002416
"1000 56TH ST",11,09-068066
"1000 57TH ST",8,07-042243
"1000 59TH ST",10,13-062232
"1000 5TH AV",8,08-052240
"1000 60TH ST",17,09-081936
"1000 61ST ST",15,11-017330
"1000 62ND ST",14,14-004983
"1000 65TH ST",5,14-903022
"1000 66TH AV",18,14-005296
"1000 66TH AVE",1,13-061910
"1000 66TH ST",4,08-011006
"1000 67TH ST",9,12-063545
"1000 70TH AV",13,08-031993
"1000 71ST AV",26,08-035976
"1000 72ND AV",22,13-065058
"1000 72ND AVE",1,14-003125
"1000 73RD AV",18,10-045285
"1000 75TH AVE",1,13-053604
"1000 75TH AVE.",1,09-083639
"1000 76TH AV",25,14-013640
"1000 76TH AVE",4,10-031131
"1000 77TH AV",19,08-058485
"1000 7TH AV",5,08-047776
"1000 81ST AVE",1,14-901855
"1000 82ND",1,08-049482
"1000 82ND AVE",1,13-061534
"1000 84TH AV",12,14-013727
"1000 85TH AV",8,11-001590
"1000 86TH AV",17,09-051525
"1000 86TH AVE",1,10-006507
"1000 87TH AV",12,07-038681
"1000 87TH AVE",1,09-035273
"1000 88TH AV",6,09-076079
"1000 8TH AV",3,07-006396
"1000 90TH AV",13,09-057877
"1000 91ST AV",5,08-093639
"1000 91ST AVE",1,13-062197
"1000 92ND AV",18,10-001256
"1000 94TH AV",1,08-000555
"1000 98TH AV",11,08-085079
"1000 9TH AV",6,12-126735
"1000 ADELINE ST",12,13-063181
"1000 AILEEN ST",18,09-023757
"1000 ALICE ST",1,07-048554
"1000 AMITO",1,14-903519
"1000 AMITO AV",1,13-913621
"1000 APGAR ST",5,07-095524
"1000 ARDMORE AV",4,14-900625
"1000 ARLINGTON AV",3,14-004612
"1000 BARBARA LN",1,12-033950
"1000 BAYVIEW AV",14,13-909703
"1000 BAYVIEW AVE",2,12-018096
"1000 BLK  40TH AVE",1,13-061252
"1000 BLK  76TH AVE",1,12-009846
"1000 BLK 10TH AV",1,11-045138
"1000 BLK 16TH ST",1,11-041205
"1000 BLK 2ND AVE.",1,13-041593
"1000 BLK 32ND STREET",1,13-055307
"1000 BLK 45TH AVE.",1,14-006705
"1000 BLK 4TH AVE",1,08-093037
"1000 BLK 72ND AVE",1,11-057991
"1000 BLK 76TH AVE.",1,14-013100
"1000 BLK 82ND AVE",1,11-052072
"1000 BLK 98TH AVE",1,12-015056
