ADDR,NCID,CID[0]
"3719 REDDING ST",2,13-904693
"3719 WEST ST",4,13-060619
"372 12TH ST",1,07-061926
"372 13TH ST",1,07-034819
"372 24TH ST",4,09-903320
"372 60TH ST",1,11-906845
"372 63RD ST",1,08-031710
"372 BARTLETT AV",1,10-023523
"372 CENTER ST",1,10-905459
"372 EUCLID AV",19,08-037770
"372 GRAND AV",3,07-094515
"372 HANOVER AV",3,11-055247
"372 ORANGE ST",2,08-081859
"372 SANTA CLARA AV",2,11-005597
"3720 38TH AV",1,13-003448
"3720 ELSTON AV",1,11-044579
"3720 FRUITVALE AVE",1,13-001374
"3720 LINCOLN AV",1,07-066793
"3720 LOMA VISTA AV",6,08-039447
"3720 LYON AV",6,08-061587
"3720 MACARTHUR BLVD",1,09-007880
"3720 MARKET ST",1,10-066372
"3720 RHODA AV",1,11-900208
"3720 SUTER ST",5,09-054327
"3720 TELEGRAPH AV",77,13-007354
"3720 TELEGRAPH AVE",2,11-010269
"3720 VIRDEN AV",1,09-011498
"3721 13TH AV",2,10-905484
"3721 ALLENDALE AV",9,08-057088
"3721 ELSTON AV",5,13-912176
"3721 FRUITVALE AV",5,09-003848
"3721 GLEN PARK RD",1,11-045909
"3721 LAKESHORE AV",1,13-036256
"3721 LINCOLN AV",3,10-004963
"3721 MACARTHUR BLVD",1,08-084369
"3721 MCCLELLAND ST",1,11-910240
"3721 NEVIL ST",1,09-024677
"3721 REDWOOD RD",1,11-900777
"3721 VICTOR AV",1,09-004231
"3721 VIRDEN AV",1,09-013182
"3722 E 12TH ST",3,08-051612
"3722 GLEN PARK RD",3,09-082596
"3722 HARBOR VIEW AV",1,09-019394
"3722 MAYBELLE AV",1,13-013990
"3722 QUIGLEY ST",2,11-004427
"3723 BUELL ST",1,10-067143
"3723 CARRINGTON ST",1,11-060282
"3723 GRAND AV",1,10-024835
"3723 HILLVIEW ST",2,13-052330
"3723 MARTIN LUTHER KING JR WY",4,11-028365
"3724 BROOKDALE AV",3,09-081826
"3724 MACARTHUR BLVD",1,13-037782
"3724 MADRONE AV",5,12-060418
"3724 NEVIL ST",1,13-010706
"3724 PATTERSON AV",8,13-903702
"3724 REDDING ST",1,13-062542
"3724 SUTER ST",2,09-071920
"3725 ALLENDALE AV",4,11-021797
"3725 GRAND AV",1,10-066172
"3725 HIGH ST",5,08-058101
"3725 INTERNATIONAL BLVD",3,11-044915
"3725 MACARTHUR BLVD",2,10-042100
"3725 MAGEE AV",1,11-008170
"3725 MARTIN LUTHER KING JR WY",2,11-031859
"3725 MAYBELLE AV",1,11-040168
"3725 WEST ST",6,08-058036
"3726 ALTAMONT AV",3,08-088499
"3726 EMERSON ST",2,11-022386
"3726 LAUREL AV",2,09-900974
"3726 LINWOOD AV",1,09-005402
"3726 MACARTHUR BLVD",10,13-018261
"3726 MAGEE AV",3,11-000390
"3726 MARTIN LUTHER KING JR WY",1,13-041266
"3726 RHODA AV",1,09-033861
"3726 VIRDEN AV",2,07-004582
"3727 35TH AV",1,10-011234
"3727 BUELL ST",11,10-064872
"3727 FOOTHILL BLVD",1,09-083015
"3727 GRAND AV",2,08-010559
"3727 MIDVALE AV",4,07-034971
"3727 QUIGLEY ST",2,09-024809
"3727 RANDOLPH AV",1,10-066836
"3728 BUELL ST",2,07-034221
"3728 MAYBELLE AV",2,10-902262
"3728 REDDING ST",2,07-020318
"3728 TELEGRAPH AV",1,12-008611
"3728 WOODRUFF AV",4,11-900800
"3729 GRAND AV",2,11-058202
"3729 HIGH ST.",1,11-043867
"3729 LAKESHORE AV",2,10-004932
"3729 PENNIMAN AV",2,11-007175
"3729 RANDOLPH AV",1,11-043803
"3729 WISCONSIN ST",3,07-016579
"373 17TH ST",3,08-003969
"373 40TH ST",1,11-903992
"373 50TH ST",3,10-019395
"373 62ND ST",1,07-067217
"373 63RD ST",1,09-903566
"373 9TH ST",5,09-021407
"373 ADAMS ST",1,08-019076
"373 BELMONT ST",6,07-071577
"373 CASWELL AV",5,12-905016
"373 CLARA ST",4,13-046770
"373 EUCLID AV",6,11-059679
"373 FAIRMOUNT AV",1,10-011887
"373 GRAVATT DR",4,09-009353
"373 HANOVER AV",2,12-026369
"373 OAKLAND AV",1,13-906312
"373 ORANGE ST",2,10-060064
"373 STATEN AV",9,12-059053
"373 TAURUS AV",1,11-011591
"373 WARWICK AV",4,07-087932
"3730 35TH AV",2,11-904839
"3730 BROOKDALE AV",2,10-001690
"3730 BUELL ST",1,10-052345
"3730 E 12TH ST",2,08-095135
"3730 MALCOLM AV",1,09-078356
"3730 PATTERSON AV",1,11-051968
"3730 WISCONSIN ST",2,11-029167
"3731 35TH AV",2,09-077976
"3731 HIGH ST",2,11-021718
"3731 MACARTHUR BLVD",5,07-048699
"3731 MAGEE AV",1,10-015944
"3731 MAGEE AVE",1,10-023772
"3731 NEVIL ST",1,08-031011
"3731 PENNIMAN AV",1,08-043224
"3731 QUIGLEY ST",1,13-911984
"3731 REDWOOD RD",4,07-018407
"3732 GLEN PARK RD",3,08-082684
"3732 GRAND AV",5,10-002379
"3732 HIGH ST",6,12-033434
"3732 VIRDEN AV",2,09-053366
"3733 13TH AV",6,11-900817
"3733 CANON AV",2,12-900370
"3733 CANON AVE",1,13-000610
"3733 COOLIDGE AV",2,11-907088
"3733 HIGH ST",13,07-075548
"3733 HILLVIEW ST",4,09-021805
"3733 MAYBELLE AV",2,11-050747
"3733 OLD VESTAL RD",1,10-904996
"3733 RANDOLPH AV",4,10-034291
"3734 GRAND AV",1,09-025670
"3734 MACARTHUR BLVD",13,10-067952
"3734 RUBY ST",1,10-903206
"3735 35TH AV",1,09-041312
"3735 38TH AV",2,11-036212
"3735 39TH AV",5,07-072249
"3735 BROWN AV",3,12-064273
"3735 BROWN AVE",1,10-063985
"3735 MALCOLM AV",2,07-055314
"3735 MAPLE AV",4,13-903139
"3735 MCCLELLAND ST",7,10-020261
"3735 NEVIL ST",3,09-056784
"3736 GRAND AV",1,09-085760
"3736 HIGH ST",3,11-028354
"3736 WOODRUFF AV",1,09-904680
"3737 COOLIDGE AV",4,08-066976
"3737 COOLIDGE AVE.",1,08-088325
"3737 LINWOOD AVE",1,11-053939
"3737 SUTER ST",1,11-035256
"3737 WISCONSIN ST",3,10-034999
"3738 COLUMBIAN DR",5,07-033344
"3738 ELSTON AV",1,10-017208
"3738 FOOTHILL BLVD",2,09-059666
"3738 MAGEE AV",4,10-003756
"3738 MIDVALE AV",1,10-067134
"3738 PARK BOULEVARD WY",5,12-030362
"3738 VICTOR AV",1,11-049012
"3739 HIGH ST",1,09-083472
"3739 LOMA VISTA AV",1,11-050584
"3739 NEVIL ST",1,11-029326
"3739 PARK BOULEVARD WY",3,13-025020
"3739 QUIGLEY ST",2,11-909026
"3739 VICTOR AV",2,10-056681
"374 41ST ST",2,12-034400
"374 45TH ST",2,08-040489
"374 49TH ST",1,09-049221
"374 50TH ST",2,11-012507
"374 61ST ST",1,10-009863
"374 7TH ST",1,13-907238
"374 7TH ST.",1,13-052932
"374 BELLEVUE AV",2,11-908376
"374 DARIEN AV",1,11-000089
"374 FAIRMOUNT AV",4,08-059136
"374 W MACARTHUR BLVD",1,07-094287
"374 WEBSTER ST",1,09-902790
"3740 37TH AVE",1,13-003805
"3740 38TH AV",1,09-010625
"3740 ATLAS AVE",1,09-027821
"3740 CANON AV",3,09-027220
"3740 KELLER AV",2,08-009775
"3740 LAGUNA AV",3,08-095114
"3740 MALCOLM AV",1,09-006402
"3740 SAN LEANDRO BL",1,07-013969
"3740 SAN LEANDRO ST",6,07-073892
"3741 MCCLELLAND ST",1,07-019306
"3741 QUIGLEY ST",2,07-008254
"3742 ENOS AV",1,10-905747
"3742 MCCLELLAND ST",4,09-060929
"3742 MCDELLAND ST",1,07-031422
"3742 RANDOLPH AV",2,10-003596
"3742 VIRDEN AV",1,09-011969
"3743 LOMA VISTA AV",1,11-057905
"3743 MCCLELLAND ST",8,11-019701
"3743 PARK BLVD",1,11-012485
"3743 QUIGLEY ST",1,10-906793
"3743 SUTER ST",2,11-910591
"37439 PURPLE SHADOW RD",1,11-901895
"3744 35TH AV",2,11-060487
"3744 FOOTHILL BLVD",1,07-063416
"3744 FRUITVALE AV",5,10-048738
"3744 GLEN PARK RD",1,13-902683
"3744 MIDVALE AV",1,09-068158
"3744 VICTOR AV",1,10-906721
"3745 COLUMBIAN DR",3,07-094976
"3745 DELMONT AV",4,07-097035
"3745 ELSTON AV",1,09-073755
"3745 MALCOLM AV",2,10-004095
"3745 PARK BOULEVARD WY",1,09-085736
"3746 39TH AV",1,09-046088
"3746 LOMA VISTA AV",1,11-060950
"3746 MCCLELLAND ST",2,12-049649
"3746 PARK BLVD",3,11-033104
"3746 PARK BOULEVARD WY",7,07-054048
"3747 GRAND",2,11-045400
"3747 GRAND AV",103,07-009992
"3747 GRAND AVE",5,12-053184
"3747 KELLER AV",2,11-001066
"3747 MIDVALE AV",2,09-900781
"3747 WOODRUFF AV",1,11-035010
"3748 13TH AV",37,08-076495
"3748 ARDLEY AV",1,10-041037
"3748 ARDLEY AVE",1,11-051352
"3748 BALFOUR AV",7,11-025136
"3748 ENOS AV",3,12-020960
"3748 FRUITVALE AV",3,08-064150
"3748 HIGH ST",2,09-049828
"3748 VIRDEN AV",1,11-049384
"3749 38TH AV",2,08-048362
"375 11TH ST",22,08-050394
"375 12TH ST",3,09-080067
"375 41ST ST",1,07-020250
"375 45TH ST",1,11-900398
"375 60TH ST",1,10-064944
"375 9TH ST",1,09-045478
"375 ADAMS ST",1,09-071725
"375 BELLEVUE AV",4,10-900482
"375 CAVOUR ST",1,09-903818
"375 GHORMLEY AV",2,09-017607
"375 GRAND AV",9,13-056778
"375 JAYNE AV",7,12-904548
"375 OAKLAND AV",1,11-032073
"375 SOMERSET RD",4,09-049341
"375 STATEN AV",10,09-072680
"375 VAN BUREN AV",17,07-074129
"3750 39TH AV",3,12-908281
"3750 ATLAS AV",1,09-083498
"3750 BROADWAY",6,07-045195
"3750 E 14TH ST",1,07-006574
"3750 GLEN PARK RD",2,11-032069
"3750 GRAND AV",1,13-904569
"3750 HARRISON ST",14,08-087813
"3750 INTERNATIONAL BLVD",38,07-100262
"3750 INTERNATIONAL BLVD.",1,10-035027
"3750 LAKESHORE AV",4,12-015698
"3750 MADRONE AV",4,07-058340
"3750 MALCOLM AV",4,07-028255
"3750 MALCOM",1,10-009450
"3750 PARK BLVD",4,13-910293
"3750 PARK BOULEVARD WY",10,07-006591
"3750 SILVERWOOD AV",11,12-908285
"3750 SILVERWOOD AVE",1,09-904564
"3750 SUTER ST",4,10-906824
"3751 39TH AV",2,08-020999
"3751 BROADWAY",3,12-033430
"3751 ELSTON AV",2,07-062858
"3751 HARRISON ST",4,13-900080
"3751 INTERNATIONAL BLVD",14,13-004117
"3751 LATIMER PL",2,12-006998
"3751 RANDOLPH AV",1,09-008772
"3752 BROOKDALE AV",1,13-900312
"3752 FRUITVALE AV",2,13-908606
"3752 HIGH ST",5,10-064294
"3752 INTERNATIONAL BLVD",1,11-046620
"3753 BROOKDALE AV",2,10-024486
"3753 HIGH ST",2,08-070332
"3753 LINCOLN AV",2,12-900587
"3753 MIDVALE AV",3,11-003705
"3753 PENNIMAN AV",2,09-904841
"3754 38TH AV",2,11-900718
"3754 ARDLEY AV",1,09-033231
"3754 ENOS AV",4,10-903556
"3754 MANILA AV",1,09-082263
"3755 13TH AV",1,11-027818
"3755 38TH AV",3,08-010766
"3755 ANGELO AV",1,09-003925
"3755 BROOKDALE AV",14,11-031910
"3755 EMERSON ST",4,08-070292
"3755 FOOTHILL BLVD",5,11-046843
"3755 MARION AV",3,09-055031
"3755 MIDVALE AV",1,11-061555
"3755 MIDVALE AVE",1,13-066241
"3755 PARK BLVD",1,12-126298
"3756 39TH AV",2,10-069962
"3756 GLEN PARK RD",3,08-071128
"3756 PENNIMAN AV",1,09-062599
"3756 SHAFTER AV",1,11-050158
"37566 GLENMOOR DR",1,09-025702
"3758 DELMONT AV",9,11-026365
"3758 LOMA VISTA AV",3,13-008352
"3758 MADRONE AV",4,12-905708
"3758 MAGEE AV",2,10-904090
"3758 PIEDMONT AV",22,09-010662
"3758 SUTER ST",2,07-035821
"3759 DELMONT AV",3,10-059548
"3759 INTERNATIONAL BLVD",1,07-057761
"3759 LAKESHORE AV",3,12-054683
"3759 MARION AV",1,11-900039
"3759 SILVERWOOD AV",3,13-001789
"376 15TH ST",9,13-013334
"376 17TH ST",5,10-023705
"376 40TH ST",3,08-019985
"376 42ND ST",2,12-908659
"376 60TH ST",1,11-014245
"376 61ST ST",1,10-903731
"376 7TH ST",2,08-029768
"376 8TH ST",3,08-051866
"376 BELLEVUE AV",2,11-051171
"376 ORANGE ST",7,11-904984
"376 STATEN AV",7,08-047236
"3760 39TH AV",6,08-082949
"3760 ARDLEY AV",3,11-030756
"3760 BROOKDALE AVE",1,11-060263
"3760 MIDVALE AV",3,13-052996
"3760 PARK BLVD",6,12-028196
"3760 PARK BOULEVARD WY",11,11-049934
"3760 RUBY ST",3,07-092173
"3760 SHAFTER AV",2,13-033772
"3760 SHAFTER AVE.",1,12-004372
"3760 WEBSTER ST",3,10-063479
"3761 ALLENDALE AV",2,11-008780
"3761 HARRISON ST",6,11-016492
"3761 HIGH ST",2,13-900189
"3761 LATIMER PL",3,12-900638
"3761 MANILA AV",1,11-040265
"3761 MARTIN LUTHER KING JR WY",1,09-028897
"3761 PARK BLVD",3,13-054292
"3762 BROOKDALE AV",3,07-086504
"3762 PENNIMAN AV",2,10-064582
"3762 SHAFTER AV",12,09-083927
"3762 SHAFTER AVE",1,10-020664
"3763 38TH AV",1,11-043312
"3763 39TH AV",4,13-053635
"3763 ELSTON AV",1,11-059562
"3763 MANILA AV",1,10-040763
"3763 PENNIMAN AV",5,13-033062
"3763 RUBY ST",23,10-043511
"3764 39TH AV",2,07-000046
"3764 39TH AVE",1,11-029856
"3764 DELMONT AV",9,10-041600
"3764 FRUITVALE AV",6,07-005111
"3764 SHAFTER AV",10,11-059503
"3764 SUTER ST",1,09-030896
"3765 39TH AV",1,09-076188
"3765 ANGELO AV",5,11-018948
"3765 CANON AV",1,09-039150
"3765 FRUITVALE AV",2,09-080207
"3765 HIGH ST",11,09-903116
"3765 PENNIMAN AV",2,11-043868
"3766 FRUITVALE AV",1,09-069104
"3766 LOMA VISTA AVE",1,11-036553
"3766 MARION AV",3,10-014951
"3766 PIEDMONT AV",8,09-056924
"3766 SHAFTER AV",1,08-022281
"3767 HARRISON ST",1,10-907373
"3767 HIGH ST",5,09-900938
"3767 PENNIMAN AV",2,09-062809
"3767 RUBY ST",2,11-012304
"3768 ANGELO AV",2,11-910381
"3768 BROOKDALE AV",13,11-032675
"3768 HARRISON ST",9,13-053031
"3768 MAGEE AV",3,09-006439
"3768 PIEDMONT AV",3,07-018581
"3768 RUBY ST",6,12-901695
"3768 RUBY ST.",1,12-004279
"3768 SHAFTER AV",1,13-911643
"3769 39TH AV",4,08-062250
"3769 LUNDHOLM AV",1,11-017148
"3769 LUNDHOLM AVE",1,13-047307
"3769 RUBY ST",4,09-027329
"377 15TH ST",4,08-039111
"377 17TH ST",10,09-069400
"377 19TH ST",1,07-024681
"377 2ND ST",1,07-008749
"377 38TH ST",1,10-905355
"377 40TH ST",3,10-062519
"377 50TH ST",2,07-031968
"377 60TH ST",3,08-053983
"377 61ST ST",1,11-044852
"377 8TH ST",5,11-049234
"377 8TH ST.",1,10-020934
"377 98TH AV",2,08-020804
"377 DARIEN AV",1,10-030804
"377 E 17TH ST",1,08-054211
"377 E 8TH ST",1,08-013552
"377 LENOX AV",12,09-904718
"377 LENOX AVE.",1,09-904589
"377 ORANGE ST",1,09-900252
"3770 39TH AV",1,07-078625
"3770 DELMONT AVE",1,10-043935
"3770 HARRISON ST",2,13-900097
"3770 PARK BLVD",1,09-904488
"3770 PARK BOULEVARD WY",1,11-025164
"3770 PATTERSON AV",1,09-077065
"3770 PIEDMONT AV",4,10-018028
"3770 SUTER ST",9,13-004838
"3771 ALLENDALE AV",2,08-071767
"3771 HIGH ST",3,10-068940
"3771 MANILA AV",1,11-021363
"3772 BUELL ST",1,10-907581
"3772 CANON AV",2,11-910150
"3772 HOWE ST",7,12-040488
"3772 LEIGHTON CT",4,07-086610
"3772 MARION AV",1,13-027739
"3772 WEBSTER ST",4,07-078005
"3773 39TH AV",7,12-127322
"3773 ALLENDALE AV",1,11-027939
"3773 HARRISON ST",1,10-028453
"3773 HIGH ST",7,08-030164
"3773 LUNDHOLM AV",2,09-083337
"3773 MANILA AV",3,11-001467
"3773 PARK BLVD",4,13-038267
"3773 WEBSTER ST",2,13-023645
"3774 38TH AV",4,13-008307
"3774 39TH AV",9,13-036478
"3774 LEIGHTON ST",1,09-021177
"3775 ALLENDALE AV",2,09-053551
"3775 LEIGHTON CT",7,09-024084
"3775 PARK BOULEVARD WY",2,07-050570
"3776 PIEDMONT AV",6,10-056825
"3776 WEBSTER ST",2,10-062176
"3777 MALCOM AVE",2,10-028367
"3778 BUELL ST",4,09-022814
"3778 MADRONE AV",3,12-063896
"3778 PARK BLVD",10,13-905373
"3779 FRUITVALE AV",2,11-906188
"3779 HARRISON ST",20,13-015442
"3779 LAKESHORE AV",1,08-053169
"3779 PARK BOULEVARD WY",1,10-901378
"3779 PIEDMONT AV",16,11-909064
"378 17TH ST",8,11-021804
"378 38TH ST",2,10-039730
"378 42ND ST",1,09-900452
"378 49TH ST",3,12-910582
"378 63RD ST",3,08-008177
"378 8TH AVE",1,11-056320
"378 BELLEVIEW DR",1,13-005267
"378 BURLWOOD AV",2,09-071702
"378 GRAND AV",8,10-062383
"378 HUDSON ST",1,09-026685
"378 PERKINS ST",1,11-010472
"3780 BROOKDALE AV",3,11-009164
"3780 GRAND AV",1,13-022744
"3780 HOWE ST",2,10-055297
"3780 MOUNTAIN BLVD",2,08-021015
"3781 ANGELO AV",2,11-024714
"3781 BUELL ST",2,12-020275
"3781 MANILA",1,09-028825
"3781 MARION AV",4,07-084309
"3782 MANILA AV",1,09-076712
"3782 MOUNTAIN BLVD",2,12-014357
"3784 ANGELO AV",3,10-028704
"3784 BROADWAY",4,12-028696
"3785 BUELL ST",3,09-900498
"3785 HARRISON ST",3,09-007365
"3785 MALCOLM AV",1,11-054783
"3789 39TH AV",2,11-008384
"3789 ANGELO AV",1,09-081424
"3789 BUELL ST",3,11-032241
"379 105TH AV",1,10-905053
"379 12TH",1,09-071761
"379 60TH ST",1,11-022245
"379 8TH ST",2,09-021105
"379 9TH ST",1,09-051202
"379 ALCATRAZ AV",3,10-059048
"379 CASWELL AV",3,11-027461
"379 HANOVER AV",7,07-088556
"379 HUDSON ST",2,11-909128
"379 ORANGE ST",3,07-016304
"379 SUMMER SET RD",1,08-060861
"3790 LATIMER PL",2,11-041255
"3791 LATIMER PL",3,11-033768
"3791 SHAFTER AV",3,10-906142
"3791 WEBSTER",1,11-050466
"3791 WEBSTER ST",12,11-048125
"3792 ANGELO AV",1,09-038617
"3792 HARRISON ST",10,08-063303
"3792 WEST ST",1,07-067305
"3794 GRAND AV",1,11-910033
"3795 39TH AV",6,13-040651
"3795 BUELL ST",1,07-042573
"3796 ANGELO AV",4,12-005472
"3796 LAKESHORE AVE.",1,10-900602
"3797 BUELL ST",1,09-082007
"3798 HARRISON ST",2,11-049554
"3798 WEST ST",1,13-025072
"3799 HARRISON ST",6,12-003021
"3799 LAS VEGAS BL",1,10-008566
"3799 S LAS VEGAS BL",1,07-081266
"37T H AV&INTERNATIONAL BLVD",2,12-028490
"37TH & MACARTHUR BIVD",1,09-900980
"37TH & WEBSTER",1,08-016910
"37TH AV & E 12TH",1,10-055130
"37TH AV & E 14TH ST",1,09-052583
"37TH AV & FOOTHILL",1,08-076475
"37TH AV & SAN LEANDRO ST",9,13-040957
"37TH AV&E 9TH ST",2,12-037810
"37TH AV&INTERNATIONAL BLVD",26,08-091470
"37TH AV&SAN LEANDRO ST",8,12-021803
"37TH AVE",2,07-016573
"37TH AVE & E16TH ST",1,12-053451
"37TH AVE AND E12TH ST",1,11-008660
"37TH ST & LINDEN ST",1,12-903238
"37TH ST & MARKET ST",2,13-028612
"37TH ST & MARTIN LUTHER KING JR WY",10,12-044756
"37TH ST & SAN PABLO AV",3,11-901181
"37TH ST & SAN PABLO AVE",1,09-074745
"37TH ST & TELEGRAPH AV",19,12-000363
"37TH ST & W MACARTHUR BLVD",4,11-908677
"37TH ST & WEBSTER ST",9,12-901451
"37TH ST & WEST ST",2,11-039974
"37TH ST AND MARTIN LUTHER KING JR. BLVD",1,13-023034
"37TH ST&LINDEN ST",2,09-004675
"37TH ST&MARKET ST",7,08-059880
"37TH ST&MARTIN LUTHER KING J",11,08-007562
"37TH ST&TELEGRAPH AV",2,08-018332
"37TH ST&W MACARTHUR BLVD",2,14-012973
"37TH ST&WEBSTER ST",1,09-009727
"37TH ST&WEST ST",5,07-076935
"37TH& E 12TH",1,09-063837
"37TH/INTERNATIONAL BLVD",1,13-003219
"38 ARROYO AV",1,10-908086
"38 BOWLES PL",1,09-005313
"38 CHATSWORTH CT",1,07-022497
"38 CONRAD CT",1,09-079144
"38 DANBURY ST",1,10-907916
"38 LUSK ST",1,09-075860
"38 PERTH PL",1,07-004770
"38 SCHOONER HILL",1,10-904002
"38 SELKIRK ST",1,11-901196
"38 VILLANOVA LN",3,08-076323
"38 WEBSTER ST",2,13-046981
"380 11TH ST",2,08-044855
"380 14TH ST",3,12-040055
"380 14TH STREET",1,09-900904
"380 15TH ST",4,12-032874
"380 38TH ST",1,10-062109
"380 3RD ST",6,10-051827
"380 41ST ST",2,09-016562
"380 49TH ST",5,10-902430
"380 50TH ST",1,10-048822
"380 51ST ST",1,11-901553
"380 62ND ST",1,10-903544
"380 7TH ST",1,09-028066
"380 8TH ST",2,09-052626
"380 ADAMS ST",2,11-009327
"380 BELLEVUE AV",3,12-900802
"380 CAVOUR ST",2,11-901302
"380 ELWOOD AV",1,10-066840
"380 EUCLID AV",25,12-041905
"380 FAIRMOUNT AV",5,12-022179
"380 PALM AV",4,09-044051
"380 PERKINS ST",1,12-062954
"380 STATEN AV",7,13-046489
"380 W MACARTHUR BLVD",17,09-046758
"3800  MACARTHUR BL",1,09-903289
"3800 35TH AV",6,12-063573
"3800 38TH ST",1,13-057815
"3800 39TH AV",16,10-016343
"3800 AGUA VISTA ST",5,08-007094
"3800 ALISO AV",1,10-062253
"3800 ANGELO AV",1,09-069742
"3800 AQUA VISTA AV",1,14-001769
"3800 ARDLEY AV",4,09-904748
"3800 BAYO ST",7,09-056234
"3800 BLK 12TH ST",1,11-045756
"3800 BLK BRIGHTON AVE",1,13-004420
"3800 BLK BROOKDALE",1,09-046429
"3800 BLK CALIFORNIA ST.",1,13-014629
"3800 BLK OF HUNTINGTON ST",1,13-019083
"3800 BLK OF MARKET ST",1,10-026554
"3800 BLK OF SHAFTER AVE",1,11-060110
"3800 BLK RUBY",1,13-060283
"3800 BLK SANTA RITA AVE",1,10-026978
"3800 BLK SUTER ST",1,11-050776
"3800 BLK WEBSTER ST",1,12-036168
"3800 BLK WHITTLE AVE",1,13-036897
"3800 BLK. DALE PL",1,08-010804
"3800 BLOCK OF MARKET ST.",1,11-044188
"3800 BRIGHTON AV",3,12-034662
"3800 BROADWAY",13,12-001693
"3800 BROWN AV",2,13-000051
"3800 BUELL ST",6,12-028552
"3800 CALIFORNIA ST",9,09-070687
"3800 CANON AV",2,09-053995
"3800 CARSON ST",1,09-054245
"3800 CLARKE",1,09-029230
"3800 COLUMBIAN DR",1,14-902050
"3800 COOLIDGE AVE",4,11-058484
"3800 COOLIDGE AVENUE",1,13-062305
"3800 DALE",1,10-066371
"3800 DELEWARE",1,08-023921
"3800 DELMONT AV",7,13-913142
"3800 DELMONT AVE",1,13-057040
"3800 E 12TH ST",17,07-020499
"3800 E 16TH ST",1,07-066128
"3800 ENOS AV",6,10-900324
"3800 ENOS ST",1,07-078159
"3800 EVERETT AVE",1,14-002761
"3800 FAIRWAY AV",1,08-044608
"3800 FOOTHILL BLVD",36,11-062274
"3800 FOREST HILL AV",1,13-913518
"3800 FRUITVALE AV",6,09-084522
"3800 GLEN PARK RD",3,07-057850
"3800 GREENWOOD DR",1,12-125355
"3800 HANLY RD",3,13-063089
"3800 HANLY RD (DIMOND PARK)",1,14-003067
"3800 HARRISON ST",8,14-003668
"3800 HIGH ST",16,08-091014
"3800 HOLLIS STREET",1,14-004667
"3800 HOWE ST, 4TH FLOOR",1,12-025668
"3800 HUNTINGTON ST",3,13-012816
"3800 INTERNATIONAL",3,10-030315
"3800 JOAQUIN MILLER RD",1,09-070849
"3800 KANSAS ST",5,14-903544
"3800 LA CRESTA AV",1,11-904618
"3800 LAGUNA AV",1,14-010084
"3800 LAGUNA AVENUE",1,14-003192
"3800 LAKESHORE AV",5,12-040654
"3800 LATIMER",1,07-046694
"3800 LAUREL AV",6,12-023601
"3800 LAUREL AVE",1,13-061371
"3800 LINCOLN AV",4,08-001128
"3800 LUNDHOLM AV",1,13-904634
"3800 LUSK ST",9,08-055796
"3800 LYMAN RD",2,11-035233
"3800 LYON AV",11,11-059245
"3800 MACARTHUR BLVD",28,09-013868
"3800 MADRONE AV",4,07-057879
"3800 MAGEE AV",2,13-913472
"3800 MANDELA PKWY",1,13-015665
"3800 MANILA AV",15,09-030230
"3800 MARKET ST",42,09-082695
"3800 MARTIN LUTHER KING",1,09-046896
"3800 MARTIN LUTHER KING JR W",5,13-913717
"3800 MARTIN LUTHER KING JR WAY",2,07-088815
"3800 MARTIN LUTHER KING JR WY",38,07-073412
"3800 MASTERSON",1,10-051071
"3800 MASTERSON ST",4,07-084984
"3800 MERA ST",9,13-011438
"3800 MIDVALE AV",4,07-014519
"3800 MONTEREY BLVD",2,07-003764
"3800 MOUNTAIN BLVD",14,09-029498
"3800 NEVIL ST",9,14-004038
"3800 PATTERSON AV",9,11-908117
"3800 PENNIMAN AVE",1,14-007234
"3800 PERALTA ST",1,13-009909
"3800 PIEDMONT AV",22,13-913655
"3800 PIERSON ST",1,09-033930
"3800 QUIGLEY ST",5,07-032761
"3800 REDDING",1,10-010685
"3800 REDDING ST",7,11-008247
"3800 REDWOOD RD",2,09-019491
"3800 RHODA AV",1,13-063372
"3800 RICMOND",1,08-012419
"3800 RUBY ST",6,14-902330
"3800 SAN JUAN ST",7,08-004567
"3800 SAN LEANDRO",1,11-013186
"3800 SAN LEANDRO ST",10,09-002160
"3800 SAN PABLO AV",1,09-076085
"3800 SANTA RITA",1,11-014688
"3800 SANTA RITA ST",10,08-074451
"3800 SCHOOL ST",1,07-031293
"3800 SEQUOYAH RD",1,11-038994
"3800 SHAFTER AV",10,07-099753
"3800 SHAFTER AVE",1,14-902775
"3800 SILVERWOOD AV",2,12-908599
"3800 SUTER ST",10,10-055001
"3800 TELEGRAPH AV",30,10-003291
"3800 TWIN OAKS WAY",1,13-063664
"3800 VALE AV",1,11-032680
"3800 WATTLING AV",1,14-005425
"3800 WATTLING ST",18,08-034362
"3800 WEST ST",25,11-027089
"3800 WHITTLE AV",3,10-012677
"3800 WOODRUFF AV",3,07-094028
"3800BLK  FOOTHILL BLVD",1,10-006833
"3800BLK OF MERA ST",1,13-057993
"3801 35TH AV",2,12-062892
"3801 ALLENDALE AV",7,07-082995
"3801 BEAUMONT AV",1,10-003759
"3801 DELMONT AV",4,13-012726
"3801 EVERETT AV",1,13-911220
"3801 FOOTHILL BLVD",1,13-046067
"3801 HARRISON ST",2,09-902096
"3801 HAWTHORNE",1,11-023225
"3801 HIGH ST",3,12-911375
"3801 HOWE",1,10-070563
"3801 HOWE ST",84,11-024409
"3801 KANSAS ST",1,12-044641
"3801 LAUREL AV",2,11-907510
"3801 LINWOOD AV",1,10-045757
